,0,1,2,3,4,5,6,7
58,3.5721378,3.3057044,4.4328694,0.0,1.5531669,2.5199277,5.8991957,0.0
59,2.2425861,2.767965,1.4407248,0.0,0.532343,1.1720476,4.1331224,0.0
60,3.3076153,3.5714116,4.5280743,0.0,1.5686941,3.2379599,5.5356283,0.0
61,3.7272527,2.806972,5.289772,0.0,1.691244,2.1234007,5.527276,0.0
62,3.1829429,2.8525743,5.6859236,0.0,1.9781778,2.2925262,4.669585,0.0
63,1.932095,1.8353047,3.2647748,0.0,0.1250098,0.4067276,1.5441405,0.0
64,5.1136174,3.0699198,2.5394459,0.0,2.0124445,2.2680008,6.63414,0.0
65,3.5586638,3.2213244,4.060146,0.0,2.04392,3.142142,5.6818886,0.0
66,3.675311,4.2154875,2.4757996,0.0,2.2099502,3.6492383,5.4467554,0.0
67,3.133155,3.1416776,4.3402977,0.0,2.135194,2.7551396,4.7819986,0.0
68,3.4043434,2.9253123,5.564981,0.0,1.9370303,2.3892896,5.0109224,0.0
69,3.3084505,2.8788745,4.28265,0.0,1.8991473,2.8702486,5.0919485,0.0
70,3.1846662,2.8299315,3.0904999,0.0,1.9193143,3.665366,5.0702972,0.0
71,3.3256812,3.1274543,1.9021866,0.0,2.383592,3.1276112,5.055175,0.0
72,3.2216449,3.7228453,2.524637,0.0,2.611754,3.6246793,5.787646,0.0
73,3.4806283,2.521579,5.8671417,0.0,1.7781425,1.7093508,4.3711677,0.0
74,2.7716289,3.383692,6.4375343,0.0,1.860384,2.0998673,5.5887604,0.0
75,3.9080863,2.109415,5.1582637,0.0,1.5941448,1.4732049,4.1939087,0.0
76,2.4310489,3.075288,5.60762,0.0,1.825419,3.351249,4.871562,0.0
77,4.1065025,2.710449,4.055818,0.0,1.6026516,1.996402,5.028221,0.0
78,3.6559277,3.3690567,4.1440697,0.0,1.7612884,2.778757,6.111558,0.0
79,2.890078,3.8590934,2.9280477,0.0,1.825135,4.4171762,5.7852364,0.0
80,3.4846618,2.4347532,5.011654,0.0,2.242221,1.9196568,4.2721577,0.0
81,3.3291705,1.3771398,0.0,0.0,0.7089761,6.2064953,2.3219619,0.0
82,3.9307961,2.5341482,4.854843,0.0,1.7216744,1.5438125,4.3802023,0.0
83,1.5360732,3.2481124,2.9996662,0.0,0.5761585,2.1182487,2.8440447,0.0
84,3.0516725,2.8030798,5.6971974,0.0,1.5290924,2.488886,4.4110327,0.0
85,4.278536,2.3649108,5.04852,0.0,1.5017284,1.6962204,4.183104,0.0
86,3.7996516,2.6756592,4.4592676,0.0,1.708765,2.2968254,4.489127,0.0
87,3.5000482,3.1435187,2.3913045,0.0,1.6290205,2.9576676,5.0299706,0.0
88,3.9348745,2.8711915,4.2479477,0.0,1.980099,2.8730838,4.850386,0.0
89,3.6122253,3.891998,2.1429727,0.0,1.9073689,2.7783155,5.9944925,0.0
90,2.3305106,3.4533799,3.2656782,0.0,1.7138044,3.9624798,4.957771,0.0
91,3.4132426,2.994372,4.9716864,0.0,1.8497558,2.149344,4.7037,0.0
92,4.2931805,1.9678576,5.0957212,0.0,1.661626,1.3581045,3.8255663,0.0
93,3.4124968,2.3828652,4.299402,0.0,1.2755513,2.298289,3.5110297,0.0
94,2.8750305,3.4454763,5.138241,0.0,2.1120095,3.0019863,4.95633,0.0
95,2.7132354,3.412134,4.454296,0.0,1.865994,3.4042518,5.3879824,0.0
96,3.5041542,3.598942,2.7232165,0.0,1.5270302,3.7344627,4.8660975,0.0
97,3.5763402,3.0858164,3.578617,0.0,1.82365,2.9537578,4.911597,0.0
98,3.3757937,2.657862,5.0189285,0.0,2.0100741,2.490835,4.677929,0.0
99,4.9148264,3.0781548,0.38634038,0.0,2.8342037,3.4390604,4.351263,0.0
100,3.0597374,2.8413217,5.4920187,0.0,1.7941886,2.6629136,4.658073,0.0
101,3.599003,2.8855217,5.1721134,0.0,1.4101874,1.9687912,5.1814823,0.0
102,1.5327679,3.3116837,4.331829,0.0,2.2120047,6.007169,4.0383434,0.0
103,5.751215,2.5836952,1.9855732,0.0,0.64025193,1.2405436,5.8522954,0.0
104,2.9858048,2.730537,5.374246,0.0,1.4391513,2.5787306,4.18266,0.0
105,3.69048,2.8107617,2.1142292,0.0,1.8516035,3.969859,5.029508,0.0
106,3.0943723,2.4516995,5.990427,0.0,1.7353795,2.1343737,4.2145386,0.0
107,2.7851923,2.7138908,4.857626,0.0,2.1812265,3.7698314,4.9499817,0.0
108,1.1863775,2.3087914,3.4004922,0.0,1.9152513,5.3624735,2.1312752,0.0
109,3.3275633,2.8931608,5.105587,0.0,1.9335957,2.51662,4.638602,0.0
110,3.8561435,2.3231332,5.3921795,0.0,1.7729061,1.3150601,3.9832149,0.0
111,3.9234624,2.7836874,3.3738716,0.0,1.648851,3.0674722,4.3183823,0.0
112,3.122515,3.0418456,4.5828,0.0,1.5780007,2.7470396,4.627693,0.0
113,4.2406816,2.9100163,3.6524491,0.0,1.8976557,2.419859,5.2089143,0.0
