,Unnamed: 0,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path,jpeg_path
31,31,fbs0013,DFBSJ152136.68+425436.9,15:21:36.681,+42:54:36.98,12.11,11.98,NL,120,12,6.275161815840759e-11,-3.962276099404423e-14,-9.876726114658958e-12,-1.4986790984741975e-09,1.953876316683303e-11,-5.613322609370754e-14,6.084149994346571e-17,-2.2798371532002484e-20,specimages/fbs0013-DFBSJ152136.68+425436.9.fits,specimagesjpeg/fbs0013-DFBSJ152136.68+425436.9.jpg
32,32,fbs0013,DFBSJ152146.25+425856.9,15:21:46.253,+42:58:56.92,12.73,12.31,OK,106,15,3.1265724360114064e-12,-8.74810578289669e-14,-2.3251960525472657e-11,-3.726157841619191e-09,2.350511299856788e-11,-5.1212476511499916e-14,4.710313874561953e-17,-1.5676607852329434e-20,specimages/fbs0013-DFBSJ152146.25+425856.9.fits,specimagesjpeg/fbs0013-DFBSJ152146.25+425856.9.jpg
33,33,fbs0013,DFBSJ152146.98+425914.8,15:21:46.987,+42:59:14.86,13.23,12.72,U,106,20,1.5898217698101311e-12,1.2597581884217682e-14,5.891743722623224e-12,1.054547863139048e-09,-2.7771318463077523e-12,2.0776590156710005e-15,-2.939806315979475e-20,-3.2124092999906067e-22,specimages/fbs0013-DFBSJ152146.98+425914.8.fits,specimagesjpeg/fbs0013-DFBSJ152146.98+425914.8.jpg
34,34,fbs0013,DFBSJ152152.85+430210.4,15:21:52.850,+43:02:10.41,14.77,13.6,NL,80,14,1.3860868374218294e-11,-8.122094082705991e-14,-2.102482297359629e-11,-3.305765397406226e-09,1.7555633760873774e-11,-3.4607637950787095e-14,2.9947616841354536e-17,-9.601011765400947e-21,specimages/fbs0013-DFBSJ152152.85+430210.4.fits,specimagesjpeg/fbs0013-DFBSJ152152.85+430210.4.jpg
35,35,fbs0013,DFBSJ152153.11+430326.5,15:21:53.112,+43:03:26.55,13.51,14.81,NL,120,15,-2.372075423195361e-12,6.637002207083198e-14,1.7640795935397085e-11,2.8269713442330277e-09,-1.3909076640646387e-11,2.591438424673264e-14,-2.1500235226261552e-17,6.674825329140052e-21,specimages/fbs0013-DFBSJ152153.11+430326.5.fits,specimagesjpeg/fbs0013-DFBSJ152153.11+430326.5.jpg
36,36,fbs0013,DFBSJ152154.06+430323.4,15:21:54.061,+43:03:23.48,14.51,15.43,U,110,15,-6.421066523776845e-13,1.796596111890214e-14,4.7752567604818725e-12,7.652442866056159e-10,-3.6713613258164484e-12,6.7193273391478456e-15,-5.5085475272348476e-18,1.697301867308131e-21,specimages/fbs0013-DFBSJ152154.06+430323.4.fits,specimagesjpeg/fbs0013-DFBSJ152154.06+430323.4.jpg
37,37,fbs0015,DFBSJ162105.29+425646.4,16:21:05.291,+42:56:46.47,16.78,15.41,U,54,19,4.1933037770379546e-12,-3.81760083104936e-15,-1.1531807357280836e-12,-2.0140914962365249e-10,1.0654256418652061e-12,-2.010855437343433e-15,1.6246278219239947e-18,-4.780598580089807e-22,specimages/fbs0015-DFBSJ162105.29+425646.4.fits,specimagesjpeg/fbs0015-DFBSJ162105.29+425646.4.jpg
38,38,fbs0015,DFBSJ162108.62+425912.6,16:21:08.629,+42:59:12.65,14.68,13.55,OK,92,17,-6.328994863567255e-11,-4.566639734570356e-14,-1.3722375371599503e-11,-2.2907794357344995e-09,1.2306444145318324e-11,-2.399084898623296e-14,2.022395412714152e-17,-6.249943285067397e-21,specimages/fbs0015-DFBSJ162108.62+425912.6.fits,specimagesjpeg/fbs0015-DFBSJ162108.62+425912.6.jpg
39,39,fbs0015,DFBSJ162110.85+425503.7,16:21:10.853,+42:55:03.70,16.8,15.47,U,30,14,4.0842912954599595e-12,-2.393284567453548e-14,-6.195248191173235e-12,-9.740886517184054e-10,5.094370369472318e-12,-9.949688840535844e-15,8.559359842650587e-18,-2.733031398519197e-21,specimages/fbs0015-DFBSJ162110.85+425503.7.fits,specimagesjpeg/fbs0015-DFBSJ162110.85+425503.7.jpg
40,40,fbs0015,DFBSJ162111.70+425814.3,16:21:11.709,+42:58:14.34,14.25,13.22,OK,95,16,-5.1704223872938216e-11,-8.655090694356363e-14,-2.212930517436205e-11,-3.6176823876958383e-09,1.985340228366428e-11,-3.9604774039312696e-14,3.4201562758883554e-17,-1.0836177538325642e-20,specimages/fbs0015-DFBSJ162111.70+425814.3.fits,specimagesjpeg/fbs0015-DFBSJ162111.70+425814.3.jpg
